発明の名称,要約,出願番号,公開番号,applicant_main,inventor_main,year,ipc_main_group,cluster,cluster_label,umap_x,umap_y,eagle_cluster,drill_cluster,drill_cluster_label,mega_pulse_group,core_技術分類,core_課題分類,core_解決手段分類
炭酸塩の製造方法,-,特願2004-363497,特開2006-169038,['富士フイルム'],[],2004.0,"['C01G21', 'C01F11', 'C01G9']",10,"[10] 炭酸塩, 製造, 酸化物",14.97347,8.146292,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
高分散性Ｃａ・Ｍｇ複合炭酸塩類及びその製造方法,-,特願2004-341464,特開2006-151712,['協和化学工業'],[],2004.0,"['C01F5', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.6136,17.913921,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
二酸化炭素固定システムおよび二酸化炭素固定方法,-,特願2004-344724,特開2006-150232,['東芝'],[],2004.0,"['C01B32', 'B01D53', '135@Z', 'C01D7', 'C01B31', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.3318615,18.217077,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
導電性複合粉末及びその製造方法,-,特願2004-336020,特開2006-147351,['三井金属鉱業'],[],2004.0,"['H01B5', 'H01B13', 'C01F11', '501@Z']",34,"[34] 製造, 貝殻, ドロマイト",15.611302,11.982383,-1,,,,その他,その他,表面処理・複合化の適用
耐吸湿性無機鉱物粉および湿気硬化型樹脂組成物、並びに耐吸湿性無機鉱物粉の表面処理方法,-,特願2004-335222,特開2006-143518,"['三共精粉', 'コニシ']",[],2004.0,"['C08L101', 'C09C1', 'C08K9', 'C09C3', 'C01F11']",-1,ノイズ / 小クラスタ,14.214217,13.610721,-1,,,,その他,その他,表面処理・複合化の適用
塗工紙用炭酸カルシウム顔料及びその顔料を用いた塗工紙,-,特願2006-546522,WO2006/057062,"['ピーティー・パブリク\u3000ケルタス\u3000チウィ\u3000キミア\u3000ティービーケー', '鈴木\u3000力夫']",[],2004.0,"['C01F7', 'D21H19', 'C01F11']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.578874,11.8620205,-1,,,,製紙・パルププロセス技術;その他炭酸塩関連技術,その他,その他
カップリング剤処理炭酸カルシウム,-,特願2004-325994,特開2006-137781,['旭化成ケミカルズ'],[],2004.0,"['C09C3', 'C09C1', 'C01F11']",13,"[13] 炭酸カルシウム, 散剤, 体用分解",21.442501,13.759371,-1,,,,その他炭酸塩関連技術,その他,表面処理・複合化の適用
排ガス中の二酸化炭素の回収システムおよび回収方法,-,特願2004-326330,特開2006-137620,['東芝'],[],2004.0,"['C01B3', '304@G', 'C01B32', 'B09B3', 'C25B1', 'B09B101:30', 'B01D53', '135@Z', 'C02F1', 'C01B31', 'C01B7', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.290323,19.012438,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他,その他,専用装置・プラントシステムの設計
高い比表面積を有する炭酸カルシウムの被覆粒子,-,特願2007-540644,特表2008-519751,['ソルヴェイ（ソシエテ\u3000アノニム）'],[],2005.0,"['C09C1', 'B82Y20', 'C09C3', 'B82Y30', 'C01F11']",24,"[24] 炭酸カルシウム, グリコ, カルシウム",19.711535,14.459339,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,表面処理・複合化の適用
針状炭酸ストロンチウム粒子,-,特願2004-311424,特開2006-124199,['宇部マテリアルズ'],[],2004.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",19.166306,14.196665,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術,その他,その他
炭酸ストロンチウム微粒子の製造方法,-,特願2004-311423,特開2006-124198,['宇部マテリアルズ'],[],2004.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.423452,14.27841,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術,その他,その他
平板状炭酸ストロンチウム粒子,-,特願2004-308679,特開2006-117487,['宇部マテリアルズ'],[],2004.0,['C01F11'],-1,ノイズ / 小クラスタ,19.195663,14.121083,-1,,,リーダー (Leaders),その他,その他,その他
コントロールされた凝集の状態を示す炭酸カルシウム粒子を含む懸濁液,-,特願2007-538396,特表2008-517866,['ソルヴェイ（ソシエテ\u3000アノニム）'],[],2005.0,"['C01F11', 'D21H17']",23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",19.484312,14.380534,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,その他
金属被覆炭酸カルシウム粉末、顔料および樹脂組成物,-,特願2004-287672,特開2006-096953,['日新製鋼'],[],2004.0,"['C08L101', 'C09C1', 'C08K9', 'C09C3', 'C01F11']",-1,ノイズ / 小クラスタ,14.378433,9.652369,-1,,,,高分子・樹脂複合材料技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
炭酸カルシウムスラリーの製造方法,-,特願2004-269814,特開2006-083017,['日本コークス工業'],[],2004.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",18.842518,17.883219,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
バテライト型結晶系炭酸カルシウムと澱粉との複合体、被記録媒体、印字物、インクジェット記録方法及び被記録媒体の製造方法,-,特願2004-262299,特開2006-076828,"['国立大学法人九州工業大学', '三菱製紙']",[],2004.0,"['110', '501', 'B41J2', 'B41J3', '101@Y', 'C09C1', '100', '120', 'D21H17', 'C09C3', 'B41M5', 'C01F11', 'D21H27']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.312432,11.84304,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
カルシウムを含む廃棄物からの高純度炭酸カルシウムの製造方法,-,特願2004-257026,特開2006-069860,"['柳沢\u3000幸雄', '中国電力']",[],2004.0,['C01F11'],-1,ノイズ / 小クラスタ,19.625387,16.789202,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸塩の製造方法,-,特願2006-531924,WO2006/022272,['富士フイルム'],[],2005.0,"['C01G21', 'G02B1', 'C01F11', 'C01G9']",10,"[10] 炭酸塩, 製造, 酸化物",14.954545,8.171285,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸ストロンチウム分散液及びそれから得られる再分散性粉末,-,特願2007-526348,特表2008-510047,['ソルヴェイ\u3000インフラ\u3000バート\u3000ヘンニンゲン\u3000ゲゼルシャフト\u3000ミット\u3000ベシュレンクテル\u3000ハフツング'],[],2005.0,"['B01J13', 'C08L101', 'C01F11', 'C08K3']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.509338,17.883507,-1,,,,その他,その他,その他
増粘剤の存在下で鉱物材料を粉砕する方法、得られた水性懸濁液、およびこの使用,-,特願2007-520857,特表2008-506619,['コアテツクス・エス・アー・エス'],[],2005.0,"['C09D17', 'C09J11', 'C09D11', 'C09K3', 'C09D201', 'C09D7', 'C01F11', 'C09J201']",29,"[29] 鉱物, 重金属, 製造",15.280623,10.79731,-1,,,,その他,その他,その他の手段
水酸アパタイト‐炭酸カルシウム複合粒子の製造方法。,-,特願2004-225547,特開2006-044966,['矢橋工業'],[],2004.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.175978,15.077949,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
被覆油粒子乳化物及びその製造方法,-,特願2005-187210,特開2006-043689,['ライオン'],[],2005.0,"['B01J13', 'A01N43', '101', 'C01B25', 'C11B9', '101@E', 'A01N25', 'C01F11']",-1,ノイズ / 小クラスタ,16.06495,11.739788,-1,,,,その他,その他,表面処理・複合化の適用
アルカリ土類金属炭酸塩粉末,-,特願2007-523075,特表2008-508170,['ソルヴェイ（ソシエテ\u3000アノニム）'],[],2005.0,['C01F11'],11,"[11] アルカリ土, 金属炭, 金属炭酸",14.247194,9.224603,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,その他
ウィスカー状炭酸カルシウムの製造方法,-,特願2005-057414,特開2006-028003,['日本製紙'],[],2005.0,"['C08L101', 'D21H17', 'C01F11', 'C08K7']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.76065,18.362314,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
多面体炭酸カルシウムの製造方法,-,特願2004-204405,特開2006-027915,['丸尾カルシウム'],[],2004.0,['C01F11'],15,"[15] 炭酸カルシウム, 製造, 多面体炭酸",18.727224,20.043304,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
乾燥品、水性懸濁液または分散液であり、無機物質および結合剤を含有する自己結合性顔料粒子の製造方法,-,特願2007-520923,特表2008-506807,['オムヤ・デイベロツプメント・アー・ゲー'],[],2005.0,"['C09C3', 'C09C1', 'C09D17', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",14.40239,11.926419,-1,,,,製紙・パルププロセス技術,その他,その他
炭酸塩の製造方法,-,特願2005-158088,特開2006-021988,['富士フイルム'],[],2005.0,['C01F11'],10,"[10] 炭酸塩, 製造, 酸化物",14.970045,8.147029,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸塩の製造方法,-,特願2005-158082,特開2006-021987,['富士フイルム'],[],2005.0,['C01F11'],10,"[10] 炭酸塩, 製造, 酸化物",14.969194,8.13622,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウム製品の製造方法および装置、製品およびその用途,-,特願2007-520844,特表2008-506618,['エフペー－ピグメンツ\u3000オサケ\u3000ユキチュア'],[],2005.0,"['B82Y30', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.09558,18.93075,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
インクジェット記録紙,-,特願2007-527700,特表2008-502579,['スペシャルティ\u3000ミネラルズ\u3000（ミシガン）\u3000インク．'],[],2005.0,"['110', '100', '120', 'D21H19', 'B41M5', 'C01F11', 'D21H27']",7,"[7] 製造, オフセット印刷, 製紙用",10.673696,11.170943,-1,,,,その他,その他,その他
貝殻からなる底質浄化材の製造方法,-,特願2004-165423,特開2005-342624,['フジタ'],[],2004.0,"['B01J20', 'C02F11', '530@A', '510@A', 'C02F1', '540@A', 'C01F11', '520@M']",34,"[34] 製造, 貝殻, ドロマイト",16.503859,11.296934,-1,,,,その他,その他,その他
硬化型樹脂組成物用表面処理炭酸カルシウム填料、及び該填料を含有してなる硬化型樹脂組成物,-,特願2004-160591,特開2005-336417,['丸尾カルシウム'],[],2004.0,"['C09J183', 'C08L101', 'C09J175', 'C09C1', 'C09J127', 'C09J123', 'C09J181', 'C09D133', 'C09D181', 'C08K9', 'C09K3', 'C09C3', 'C09D175', 'C09J133', 'C09D127', 'C01F11', 'C09D183']",20,"[20] 炭酸カルシウム, 該填料, 硬化型",13.699789,13.740199,-1,,,成熟・既存勢力 (Established),高分子・樹脂複合材料技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
プラスチックからの無機物の回収方法,-,特願2004-156821,特開2005-336320,"['パナソニック電工', '公益財団法人国際環境技術移転センター']",[],2004.0,"['B29B17', 'C01F11', 'C08J11']",-1,ノイズ / 小クラスタ,15.087431,12.569558,-1,,,,その他,その他,その他
多角形球状の形態をした合成炭酸カルシウム凝集結合体,-,特願2004-160662,特開2005-336036,['ニューライム'],[],2004.0,['C01F11'],16,"[16] 球状炭酸, 製造, カルシウム",19.260149,12.955031,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
塩類含有処理水の脱塩方法及びその装置,-,特願2004-155037,特開2005-334736,['住友重機械工業'],[],2004.0,"['502@H', 'C02F5', '502@B', '604', 'C02F9', 'C01F11', '503@Z', '603@E', '502@R', '501@F', '503@C', '620@B', '503@G', '502@P', '619@Z', '602@A', '601@B', 'B01D1', 'B01D21', '502@E', '504@A', 'C02F1', 'B01D9']",-1,ノイズ / 小クラスタ,15.179408,8.483562,-1,,,,その他,その他,専用装置・プラントシステムの設計
アルカリ土類金属の炭酸塩結晶の製造方法およびアルカリ土類金属の炭酸塩結晶,-,特願2004-123657,特開2005-306640,['富士フイルム'],[],2004.0,"['C09C1', 'B82Y20', 'C08K9', 'C09C3', 'C08K3', 'C08L69', 'B82Y30', 'C01F11']",11,"[11] アルカリ土, 金属炭, 金属炭酸",14.259459,8.819241,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
多孔質酸化カルシウム粒子の製造方法,-,特願2004-104641,特開2005-289688,['宇部マテリアルズ'],[],2004.0,"['B01J20', '210', 'B01D53', '101@A', 'C01F11']",23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.082565,14.681871,-1,,,リーダー (Leaders),その他,その他,その他
低密度印刷用紙,-,特願2004-099184,特開2005-281915,['日本製紙'],[],2004.0,"['C01F11', 'D21H17']",7,"[7] 製造, オフセット印刷, 製紙用",10.459043,10.970881,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,その他
中空・球状炭酸カルシウム粒子及びその製造方法,-,特願2004-095433,特開2005-281034,['国立大学法人\u3000名古屋工業大学'],[],2004.0,"['B82Y30', 'C01F11']",16,"[16] 球状炭酸, 製造, カルシウム",19.155008,13.259051,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
ドロマイトの製造方法,-,特願2004-096011,特開2005-278469,['マリーンバイオ'],[],2004.0,"['A23L33', 'C01F11', 'A23L1']",34,"[34] 製造, 貝殻, ドロマイト",15.792379,11.4520645,-1,,,,その他,その他,その他
シリカ－炭酸カルシウム複合粒子の製造方法,-,特願2004-088435,特開2005-272215,['日鉄鉱業'],[],2004.0,"['B82Y30', 'B82Y20', 'C01F11', 'C09C1']",23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",17.927996,15.126406,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
飛灰の処理方法,-,特願2004-059852,特開2005-246226,['ＤＯＷＡホールディングス'],[],2004.0,"['304@G', 'B09B3', 'B09B101:30', 'C02F1', 'C01F11', 'C01G9']",28,"[28] 石灰石, 石灰, 製造",17.206776,10.824511,-1,,,,その他,その他,その他
炭酸固化体の製造方法,-,特願2004-055590,特開2005-239528,['ＪＦＥスチール'],[],2004.0,"['301@E', '304@Z', 'B09B3', 'B09B101:55', 'B09B101:45', '304@C', '301@F', 'C01F11', 'B09B101:90']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.45686,17.627405,-1,,,,その他,その他,その他
水酸アパタイト－炭酸カルシウム複合粒子、およびその製造方法,-,特願2004-040306,特開2005-231920,['矢橋工業'],[],2004.0,"['C01F11', 'C01B25']",23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.161898,15.119534,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
炭酸カルシウムの製造方法,-,特願2004-040254,特開2005-231917,['宇部マテリアルズ'],[],2004.0,"['B82Y30', 'C01F11']",8,"[8] 炭酸カルシウム, 製造, 高級炭酸",21.128513,20.16253,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
軽質炭酸カルシウム－シリカ複合物,-,特願2004-027483,特開2005-219945,['日本製紙'],[],2004.0,"['B82Y30', 'C01F11', 'D21H17']",24,"[24] 炭酸カルシウム, グリコ, カルシウム",19.756195,15.128249,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,表面処理・複合化の適用
石膏の処理方法,-,特願2004-022429,特開2005-213099,['独立行政法人産業技術総合研究所'],[],2004.0,"['C10J3', 'C01B17', 'C01F11']",28,"[28] 石灰石, 石灰, 製造",16.979012,10.952991,-1,,,,その他,その他,その他
高純度炭酸カルシウム及びその製造方法,-,特願2004-368591,特開2005-206456,['昭和電工'],[],2004.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",20.230371,18.5741,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
中空柱状炭酸カルシウムおよびその製造方法,-,特願2004-009534,特開2005-200282,['奥多摩工業'],[],2004.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",19.730906,17.60196,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
ホタテ貝殻由来の軽質炭酸カルシウムの製造方法,-,特願2003-412483,特開2005-170733,"['北海道石灰化工', '地方独立行政法人北海道立総合研究機構']",[],2003.0,['C01F11'],17,"[17] 軽質炭酸, カルシウム, 製造",21.80301,17.8488,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
サンゴ精製方法、及び、これにより得たサンゴ,-,特願2006-541987,特表2007-523029,['バイオ\u3000ホールディングズ\u3000インターナショナル\u3000リミテッド'],[],2004.0,"['B01D11', 'A61F2', 'A61L27', 'C01F11']",34,"[34] 製造, 貝殻, ドロマイト",16.456547,11.42511,-1,,,,その他,その他,その他
針状炭酸カルシウムの製造方法,-,特願2003-374891,特開2005-139012,['矢橋工業'],[],2003.0,['C01F11'],22,"[22] 製造, 炭酸カルシウム, 紡錘状",18.51498,16.021355,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
沈降炭酸カルシウムの製造方法および装置,-,特願2006-538237,特表2007-522060,['ミシシッピ\u3000ライム\u3000カンパニー'],[],2004.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",19.460499,18.868433,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
焼結型混合炭酸塩の放射性炭素の格納方法,-,特願2006-537378,特表2007-510147,['コミツサリア\u3000ア\u3000レネルジー\u3000アトミーク\u3000エ\u3000オ\u3000ゼネルジ\u3000ザルタナティヴ'],[],2004.0,"['G21F9', 'C01F11', '511@A', 'C01D7']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.8950815,18.330832,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他炭酸塩関連技術,その他,その他
メタリック顔料及びそれを配合してなる合成樹脂組成物,-,特願2004-216921,特開2005-105253,"['丸尾カルシウム', 'テクノポリマー']",[],2004.0,"['C08L101', 'C09C1', 'C01B25', 'C08K9', 'C09C3', 'C01B39', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",14.155292,11.997788,-1,,,成熟・既存勢力 (Established),製紙・パルププロセス技術,その他,配合・充填・抄紙プロセスの最適化
水系で合成した無機粒子を単粒子粉体として取出す方法,-,特願2003-336731,特開2005-103345,['ニューライム'],[],2003.0,"['C01F11', 'C01B25', 'B01J19']",18,"[18] 製造, 無機, 光学",16.525866,12.60355,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,その他
炭酸ガスの固定化方法,-,特願2003-390304,特開2005-097072,['公益財団法人地球環境産業技術研究機構'],[],2003.0,"['B01J20', 'B09B3', 'B01D53', 'B09B101:35', 'C01F5', 'C01F11', '304@Z', '304@G', 'B09B101:50', 'B09B101:55', '125@D', '240', 'C02F11', '200', '135@Z', '130@D', '304@J', 'B09B101:30', 'B09B101:45', '304@C']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.755025,18.637531,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
カルサイト型炭酸カルシウムの製造方法,-,特願2003-326160,特開2005-089262,['セントラル硝子'],[],2003.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",19.847778,17.948412,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
燃焼装置及び有害物質の除去方法,-,特願2003-325551,特開2005-087897,['青野商会'],[],2003.0,"['125@A', '120', '200', 'B01D53', '135@Z', '134@B', 'C01F11', 'F23J15']",-1,ノイズ / 小クラスタ,16.728336,10.643612,-1,,,,その他,その他,回収・循環プロセスの構築;専用装置・プラントシステムの設計
アルカリ土類金属の回収方法および炭酸ガスの固定化方法,-,特願2003-307514,特開2005-074310,['公益財団法人地球環境産業技術研究機構'],[],2003.0,"['B01J49', '304@Z', '304@A', 'B01J19', 'B09B3', 'B09B101:55', 'C22B3', 'B09B101:45', 'B01J39', 'C01F5', 'C22B26', 'C01F11']",11,"[11] アルカリ土, 金属炭, 金属炭酸",14.618721,9.246369,-1,,,,二酸化炭素固定化・環境技術;その他炭酸塩関連技術,温室効果ガス削減・環境対応,その他
炭酸カルシウム系粉体及び当該粉体の製造方法,-,特願2003-297250,特開2005-067925,"['ニューライム', '古手川産業']",[],2003.0,"['110', '501', 'B41J2', 'B41J3', '101@Y', 'C09C1', '100', '120', 'B82Y20', 'C09C3', 'B82Y10', 'B82Y30', 'B41M5', 'C01F11', 'C01G9']",-1,ノイズ / 小クラスタ,13.639933,11.239541,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
１２－ヒドロキシステアリン酸又はその塩で表面処理した無機フィラー、その製造方法及び該無機フィラーを含有する樹脂組成物,-,特願2003-205014,特開2005-048034,['ファイマテック'],[],2003.0,"['C08L101', 'C09C1', 'C08K9', 'C09C3', 'C01F11']",10,"[10] 炭酸塩, 製造, 酸化物",14.906183,8.295665,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,表面処理・複合化の適用
コンクリート二次製品およびぺレット,-,特願2003-189627,特開2005-022918,"['西原環境テクノロジー', 'エコインテック', 'オリジン物産']",[],2003.0,"['C04B14', 'C04B26', 'C04B28', 'C01F11']",-1,ノイズ / 小クラスタ,17.336557,11.477614,-1,,,,その他,その他,その他
板状沈降炭酸カルシウムの製造法、それにより製造された生成物、及びそれを組み込んでいる紙,-,特願2006-514345,特表2006-527151,['スペシャルティ\u3000ミネラルズ\u3000（ミシガン）\u3000インク．'],[],2004.0,"['D21H19', 'C01F11', 'D21H17']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.215724,12.242631,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
軽質炭酸カルシウム、その製造方法及びそれを用いた製紙内填用填料,-,特願2005-506779,WO2004/108597,['奥多摩工業'],[],2004.0,"['C01F11', 'D21H17']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.239493,12.194022,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,配合・充填・抄紙プロセスの最適化
板状沈降炭酸カルシウムの合成法,-,特願2006-532861,特表2007-500672,['スペシャルティ\u3000ミネラルズ\u3000（ミシガン）\u3000インク．'],[],2004.0,"['D21H19', 'D21H17', 'C01F11', 'C08K7']",30,"[30] 炭酸カルシウム, 製造, カルシウム",20.651882,17.638987,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
変成シリコーン樹脂組成物及びポリウレタン樹脂組成物,-,特願2003-147856,特開2004-346279,"['オート化学工業', '白石工業', '白石中央研究所']",[],2003.0,"['C08L75', 'C08L71', 'C08K9', 'C09C3', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",14.18052,12.5235405,-1,,,成熟・既存勢力 (Established),その他,その他,その他
表面処理コロイド状炭酸カルシウム,-,特願2003-147855,特開2004-345932,"['白石工業', '白石中央研究所']",[],2003.0,"['C08L101', 'C09C1', 'C09J163', 'C09J11', 'C09D11', 'C08K9', 'C09K3', 'C09C3', 'C09D201', 'C09D7', 'C01F11']",19,"[19] 炭酸カルシウム, 製造, ゴム",14.8464155,14.112669,-1,,,成熟・既存勢力 (Established),その他炭酸塩関連技術,その他,表面処理・複合化の適用
含水泥土用固化材および含水泥土用固化材の製造方法,-,特願2003-135639,特開2004-339307,"['独立行政法人国立高等専門学校機構', 'カースチール']",[],2003.0,"['C09K17', 'C04B7', '101@Z', 'C09K103:00', 'C01F11', 'C02F11']",28,"[28] 石灰石, 石灰, 製造",17.367624,11.445719,-1,,,,その他,その他,その他
硬化型樹脂組成物,-,特願2004-119082,特開2004-331963,['丸尾カルシウム'],[],2004.0,"['C08L101', 'C09C1', 'C09J11', 'C09K3', 'C09C3', 'C08K3', 'C09D201', 'C09D7', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",14.35044,12.05474,-1,,,成熟・既存勢力 (Established),その他,その他,その他
重質炭酸カルシウム用分散剤,-,特願2004-105107,特開2004-315359,['サンノプコ'],[],2004.0,"['C08L101', 'C09D157', 'C09K23', 'D21H21', 'B01F17', 'C08K3', 'D21H19', 'C01F11']",13,"[13] 炭酸カルシウム, 散剤, 体用分解",21.461857,13.781337,-1,,,,その他炭酸塩関連技術,その他,その他
炭酸塩膜の製造方法,-,特願2003-103281,特開2004-307262,['豊田中央研究所'],[],2003.0,"['C01B32', 'C01G3', 'C01F5', 'C01B31', 'C01F11']",18,"[18] 製造, 無機, 光学",18.18319,13.231605,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
水素製造装置における二酸化炭素排出量の低減方法,-,特願2003-087085,特開2004-292240,['三菱化工機'],[],2003.0,"['C01B3', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.487874,18.50842,-1,-1,ノイズ / 小クラスタ,,その他,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
重質炭酸カルシウム湿式粉砕工程用分散剤,-,特願2005-504176,WO2004/087574,['サンノプコ'],[],2004.0,"['C08F220', 'C09K23', 'B01F17', 'C09D7', 'D21H19', 'C01F11']",27,"[27] 炭酸カルシウム, 水性, 製造",17.870953,8.714634,-1,,,,その他炭酸塩関連技術,その他,その他の手段
ドロマイト食品添加剤組成物、及びこれを含有する食品組成物,-,特願2005-504216,WO2004/086883,['丸尾カルシウム'],[],2004.0,"['A23L33', 'C01F11', 'A23L1']",3,"[3] 食品, 食品添加, 食品用",15.502032,6.4723654,-1,,,成熟・既存勢力 (Established),その他,その他,配合・充填・抄紙プロセスの最適化
沈降炭酸カルシウムとその製造方法,-,特願2004-182869,特開2004-262759,['エフピー－ピグメント\u3000オサケ\u3000ユキチュア'],[],2004.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",19.391727,18.951576,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
製紙汚泥廃棄物からの炭酸カルシウムの回収装置,-,特願2003-053508,特開2004-262701,['ＪＦＥ環境ソリューションズ'],[],2003.0,"['C01F11', 'C02F11']",-1,ノイズ / 小クラスタ,15.193041,12.703293,-1,,,,製紙・パルププロセス技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
